Título,Ano,Classificação 1,Classificação 2, Classificação 3, Classificação 4
Besouro Azul,17 de agosto de 2023,3,4 3,8 3,5 --
Fale Comigo,17 de agosto de 2023,3,8 3,6 4,0 --
,,
Gran Turismo – De Jogador a Corredor,24 de agosto de 2023,1,8 3,5 3,0 --
Barbie,20 de julho de 2023,4,1 3,3 5,0 --
Drácula - A Última Viagem do Deméter,24 de agosto de 2023,3,1 --
Megatubarão 2,3 de agosto de 2023,2,8 3,4 --
Oppenheimer,20 de julho de 2023,3,8 4,5 4,5 --
A Chamada,24 de agosto de 2023,3,2 --
Elementos,22 de junho de 2023,2,8 3,7 3,5 --
Gatos no Museu,10 de agosto de 2023,3,0 --
Retratos Fantasmas,24 de agosto de 2023,3,0 4,0 --
Muti - Crime e Poder,24 de agosto de 2023,3,3 --
